"cces_year","topic","q_code_common","q_code","q_label"
2007,"immigration","immig_report",NA,"Withhold funding from police failing to report illegal immigrants"
2007,"immigration","immig_reduce",NA,"Reduce legal immigration by 50 percent"
2007,"immigration","immig_wall",NA,"Increase spending on border security, including building a wall"
2007,"abortion","abortion_always",NA,"Always allow abortion"
2007,"abortion","abortion_conditional",NA,"Allow abortion only under certain cases"
2007,"abortion","abortion_20weeks",NA,"Ban abortion after 20 weeks"
2007,"abortion","abortion_coverage",NA,"Employer coverage of abortion"
2007,"abortion","abortion_expenditures",NA,"Prohibit expenditures for abortion"
2007,"abortion","abortion_prohibition",NA,"Total prohibition of abortion"
2007,"environment","enviro_carbon",NA,"Allow EPA to regulate carbon dioxide emissions"
2007,"environment","enviro_mpg_raise",NA,"Raise average fuel efficiency"
2007,"environment","enviro_mpg_lower",NA,"Lower average fuel efficiency"
2007,"environment","enviro_renewable",NA,"Require states use a minimum amount of renewable fuels"
2007,"environment","enviro_airwateracts",NA,"Strengthen EPA enforcement of Clean Air and Water acts"
2007,"guns","guns_scale",NA,"Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)"
2007,"guns","guns_bgchecks",NA,"Background checks for guns for all sales"
2007,"guns","guns_names",NA,"Prohibit state and local publishing gun owner names"
2007,"guns","guns_assaultban",NA,"Ban assault rifles"
2007,"guns","guns_permits",NA,"Ease ability to obtain concealed-carry permits"
2007,"spending","spending_welfare",NA,"Spending preferences on welfare (1 = Increase, 3 = Maintain, 5 = Decrease)"
2007,"spending","spending_healthcare",NA,"Spending preferences on health care (1 = Increase, 3 = Maintain, 5 = Decrease)"
2007,"spending","spending_education",NA,"Spending preferences on education (1 = Increase, 3 = Maintain, 5 = Decrease)"
2007,"spending","spending_police",NA,"Spending preferences on law enforcement (1 = Increase, 3 = Maintain, 5 = Decrease)"
2007,"spending","spending_infrastructure",NA,"Spending preferences on transportation/infrastructure (1 = Increase, 3 = Maintain, 5 = Decrease)"
2007,"other","gaymarriage_ban",NA,"Amendment banning gay marriage"
2007,"other","gaymarriage_legalize",NA,"Support for legalizing gay marriage"
2007,"other","affirmativeaction",NA,"Opposition to affirmative action (1 = Support, 4 = Oppose)"
2007,"health care","healthcare_aca",NA,"Repeal the Affordable Care Act"
2007,"health care","healthcare_acamandate",NA,"Restore ACA mandate requiring everyone to be insured"
2007,"health care","healthcare_medicare",NA,"Provide Medicare for all Americans"
2007,"health care","healthcare_medicareage",NA,"Lower the eligibility age for Medicare from 65 to 50"
2007,"trade","trade_china",NA,"Tariffs on goods imported from China"
2007,"trade","trade_canmex_except",NA,"Tariffs on steel and aluminum EXCEPT from Canada and Mexico"
2007,"trade","trade_canmex_include",NA,"Tariffs on steel and aluminum INCLUDING from Canada and Mexico"
2008,"spending","spending_cuts_most","cc309","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2008,"abortion","abortion_scale","cc310","Support scale for access to abortion (1 = Never permit, 4 = Always allow)"
2008,"spending","spending_cuts_least","cc310a","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2008,"environment","enviro_vs_jobs","cc311","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)"
2008,"other","affirmativeaction","cc313","Opposition to affirmative action (1 = Support, 4 = Oppose)"
2008,"other","gaymarriage_ban","cc316f","Amendment banning gay marriage"
2008,"military","military_oil","cc418_1","Approve of military ensuring oil supply"
2008,"military","military_terroristcamp","cc418_2","Approve of military to destroy terrorist camp"
2008,"military","military_genocide","cc418_3","Approve of military to intervene in genocide or civil war"
2008,"military","military_democracy","cc418_4","Approve of military to assist in spread democracy"
2008,"military","military_protectallies","cc418_5","Approve of military to protect US allies under attack"
2008,"military","military_helpun","cc418_6","Approve of military to help the United Nations uphold international law"
2008,"spending","spending_vs_tax","cc420","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)"
2008,"other","incometax_vs_salestax","cc421","Preference scale from 0 (increase income tax) to 100 (increase sales tax)"
2008,NA,"case_id","v100","Respondent ID"
2008,"immigration","immig_legalize",NA,"Grant conditional legal status to undocumented"
2008,"immigration","immig_border",NA,"Increase border security between US-Mexico"
2008,"immigration","immig_police",NA,"Allow police questioning of suspected undocumented"
2008,"immigration","immig_employer",NA,"Sanction employers hiring undocumented"
2008,"immigration","immig_services",NA,"Prohibit services to immigrants"
2008,"immigration","immig_deport",NA,"Identify and deport illegal immigrants"
2008,"immigration","immig_report",NA,"Withhold funding from police failing to report illegal immigrants"
2008,"immigration","immig_reduce",NA,"Reduce legal immigration by 50 percent"
2008,"immigration","immig_wall",NA,"Increase spending on border security, including building a wall"
2008,"abortion","abortion_always",NA,"Always allow abortion"
2008,"abortion","abortion_conditional",NA,"Allow abortion only under certain cases"
2008,"abortion","abortion_20weeks",NA,"Ban abortion after 20 weeks"
2008,"abortion","abortion_coverage",NA,"Employer coverage of abortion"
2008,"abortion","abortion_expenditures",NA,"Prohibit expenditures for abortion"
2008,"abortion","abortion_prohibition",NA,"Total prohibition of abortion"
2008,"environment","enviro_scale",NA,"Opposition scale to climate change (1 = serious problem, 5 = not occuring)"
2008,"environment","enviro_carbon",NA,"Allow EPA to regulate carbon dioxide emissions"
2008,"environment","enviro_mpg_raise",NA,"Raise average fuel efficiency"
2008,"environment","enviro_mpg_lower",NA,"Lower average fuel efficiency"
2008,"environment","enviro_renewable",NA,"Require states use a minimum amount of renewable fuels"
2008,"environment","enviro_airwateracts",NA,"Strengthen EPA enforcement of Clean Air and Water acts"
2008,"guns","guns_scale",NA,"Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)"
2008,"guns","guns_bgchecks",NA,"Background checks for guns for all sales"
2008,"guns","guns_names",NA,"Prohibit state and local publishing gun owner names"
2008,"guns","guns_assaultban",NA,"Ban assault rifles"
2008,"guns","guns_permits",NA,"Ease ability to obtain concealed-carry permits"
2008,"spending","spending_welfare",NA,"Spending preferences on welfare (1 = Increase, 3 = Maintain, 5 = Decrease)"
2008,"spending","spending_healthcare",NA,"Spending preferences on health care (1 = Increase, 3 = Maintain, 5 = Decrease)"
2008,"spending","spending_education",NA,"Spending preferences on education (1 = Increase, 3 = Maintain, 5 = Decrease)"
2008,"spending","spending_police",NA,"Spending preferences on law enforcement (1 = Increase, 3 = Maintain, 5 = Decrease)"
2008,"spending","spending_infrastructure",NA,"Spending preferences on transportation/infrastructure (1 = Increase, 3 = Maintain, 5 = Decrease)"
2008,"other","gaymarriage_scale",NA,"Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)"
2008,"other","gaymarriage_legalize",NA,"Support for legalizing gay marriage"
2008,"other","affirmativeaction_scale",NA,"Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)"
2008,"health care","healthcare_aca",NA,"Repeal the Affordable Care Act"
2008,"health care","healthcare_acamandate",NA,"Restore ACA mandate requiring everyone to be insured"
2008,"health care","healthcare_medicare",NA,"Provide Medicare for all Americans"
2008,"health care","healthcare_medicareage",NA,"Lower the eligibility age for Medicare from 65 to 50"
2008,"trade","trade_china",NA,"Tariffs on goods imported from China"
2008,"trade","trade_canmex_except",NA,"Tariffs on steel and aluminum EXCEPT from Canada and Mexico"
2008,"trade","trade_canmex_include",NA,"Tariffs on steel and aluminum INCLUDING from Canada and Mexico"
2009,"environment","enviro_scale","cc09_51","Opposition scale to climate change (1 = serious problem, 5 = not occuring)"
2009,"abortion","abortion_scale","cc09_53","Support scale for access to abortion (1 = Never permit, 4 = Always allow)"
2009,"other","gaymarriage_ban","cc09_54","Amendment banning gay marriage"
2009,"other","affirmativeaction","cc09_55","Opposition to affirmative action (1 = Support, 4 = Oppose)"
2009,NA,"case_id","v100","Respondent ID"
2009,"immigration","immig_legalize",NA,"Grant conditional legal status to undocumented"
2009,"immigration","immig_border",NA,"Increase border security between US-Mexico"
2009,"immigration","immig_police",NA,"Allow police questioning of suspected undocumented"
2009,"immigration","immig_employer",NA,"Sanction employers hiring undocumented"
2009,"immigration","immig_services",NA,"Prohibit services to immigrants"
2009,"immigration","immig_deport",NA,"Identify and deport illegal immigrants"
2009,"immigration","immig_report",NA,"Withhold funding from police failing to report illegal immigrants"
2009,"immigration","immig_reduce",NA,"Reduce legal immigration by 50 percent"
2009,"immigration","immig_wall",NA,"Increase spending on border security, including building a wall"
2009,"abortion","abortion_always",NA,"Always allow abortion"
2009,"abortion","abortion_conditional",NA,"Allow abortion only under certain cases"
2009,"abortion","abortion_20weeks",NA,"Ban abortion after 20 weeks"
2009,"abortion","abortion_coverage",NA,"Employer coverage of abortion"
2009,"abortion","abortion_expenditures",NA,"Prohibit expenditures for abortion"
2009,"abortion","abortion_prohibition",NA,"Total prohibition of abortion"
2009,"environment","enviro_carbon",NA,"Allow EPA to regulate carbon dioxide emissions"
2009,"environment","enviro_mpg_raise",NA,"Raise average fuel efficiency"
2009,"environment","enviro_mpg_lower",NA,"Lower average fuel efficiency"
2009,"environment","enviro_renewable",NA,"Require states use a minimum amount of renewable fuels"
2009,"environment","enviro_airwateracts",NA,"Strengthen EPA enforcement of Clean Air and Water acts"
2009,"guns","guns_scale",NA,"Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)"
2009,"guns","guns_bgchecks",NA,"Background checks for guns for all sales"
2009,"guns","guns_names",NA,"Prohibit state and local publishing gun owner names"
2009,"guns","guns_assaultban",NA,"Ban assault rifles"
2009,"guns","guns_permits",NA,"Ease ability to obtain concealed-carry permits"
2009,"spending","spending_welfare",NA,"Spending preferences on welfare (1 = Increase, 3 = Maintain, 5 = Decrease)"
2009,"spending","spending_healthcare",NA,"Spending preferences on health care (1 = Increase, 3 = Maintain, 5 = Decrease)"
2009,"spending","spending_education",NA,"Spending preferences on education (1 = Increase, 3 = Maintain, 5 = Decrease)"
2009,"spending","spending_police",NA,"Spending preferences on law enforcement (1 = Increase, 3 = Maintain, 5 = Decrease)"
2009,"spending","spending_infrastructure",NA,"Spending preferences on transportation/infrastructure (1 = Increase, 3 = Maintain, 5 = Decrease)"
2009,"other","gaymarriage_scale",NA,"Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)"
2009,"other","gaymarriage_legalize",NA,"Support for legalizing gay marriage"
2009,"other","affirmativeaction_scale",NA,"Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)"
2009,"military","military_oil",NA,"Approve of military ensuring oil supply"
2009,"military","military_terroristcamp",NA,"Approve of military to destroy terrorist camp"
2009,"military","military_genocide",NA,"Approve of military to intervene in genocide or civil war"
2009,"military","military_democracy",NA,"Approve of military to assist in spread democracy"
2009,"military","military_protectallies",NA,"Approve of military to protect US allies under attack"
2009,"military","military_helpun",NA,"Approve of military to help the United Nations uphold international law"
2009,"spending","spending_vs_tax",NA,"Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)"
2009,"other","incometax_vs_salestax",NA,"Preference scale from 0 (increase income tax) to 100 (increase sales tax)"
2009,"environment","enviro_vs_jobs",NA,"Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)"
2009,"spending","spending_cuts_most",NA,"Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2009,"spending","spending_cuts_least",NA,"Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2009,"health care","healthcare_aca",NA,"Repeal the Affordable Care Act"
2009,"health care","healthcare_acamandate",NA,"Restore ACA mandate requiring everyone to be insured"
2009,"health care","healthcare_medicare",NA,"Provide Medicare for all Americans"
2009,"health care","healthcare_medicareage",NA,"Lower the eligibility age for Medicare from 65 to 50"
2009,"trade","trade_china",NA,"Tariffs on goods imported from China"
2009,"trade","trade_canmex_except",NA,"Tariffs on steel and aluminum EXCEPT from Canada and Mexico"
2009,"trade","trade_canmex_include",NA,"Tariffs on steel and aluminum INCLUDING from Canada and Mexico"
2010,"guns","guns_scale","CC320","Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)"
2010,"environment","enviro_scale","CC321","Opposition scale to climate change (1 = serious problem, 5 = not occuring)"
2010,"immigration","immig_employer","CC322_1","Sanction employers hiring undocumented"
2010,"immigration","immig_legalize","CC322_2","Grant conditional legal status to undocumented"
2010,"immigration","immig_border","CC322_4","Increase border security between US-Mexico"
2010,"immigration","immig_police","CC322_5","Allow police questioning of suspected undocumented"
2010,"abortion","abortion_scale","CC324","Support scale for access to abortion (1 = Never permit, 4 = Always allow)"
2010,"environment","enviro_vs_jobs","CC325","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)"
2010,"other","gaymarriage_ban","CC326","Amendment banning gay marriage"
2010,"other","affirmativeaction","CC327","Opposition to affirmative action (1 = Support, 4 = Oppose)"
2010,"spending","spending_cuts_most","CC328","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2010,"spending","spending_cuts_least","CC329","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2010,"military","military_oil","CC414_1","Approve of military ensuring oil supply"
2010,"military","military_terroristcamp","CC414_2","Approve of military to destroy terrorist camp"
2010,"military","military_genocide","CC414_3","Approve of military to intervene in genocide or civil war"
2010,"military","military_democracy","CC414_4","Approve of military to assist in spread democracy"
2010,"military","military_protectallies","CC414_5","Approve of military to protect US allies under attack"
2010,"military","military_helpun","CC414_6","Approve of military to help the United Nations uphold international law"
2010,"spending","spending_vs_tax","CC415r","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)"
2010,"other","incometax_vs_salestax","CC416r","Preference scale from 0 (increase income tax) to 100 (increase sales tax)"
2010,NA,"case_id","V100","Respondent ID"
2010,"immigration","immig_services",NA,"Prohibit services to immigrants"
2010,"immigration","immig_deport",NA,"Identify and deport illegal immigrants"
2010,"immigration","immig_report",NA,"Withhold funding from police failing to report illegal immigrants"
2010,"immigration","immig_reduce",NA,"Reduce legal immigration by 50 percent"
2010,"immigration","immig_wall",NA,"Increase spending on border security, including building a wall"
2010,"abortion","abortion_always",NA,"Always allow abortion"
2010,"abortion","abortion_conditional",NA,"Allow abortion only under certain cases"
2010,"abortion","abortion_20weeks",NA,"Ban abortion after 20 weeks"
2010,"abortion","abortion_coverage",NA,"Employer coverage of abortion"
2010,"abortion","abortion_expenditures",NA,"Prohibit expenditures for abortion"
2010,"abortion","abortion_prohibition",NA,"Total prohibition of abortion"
2010,"environment","enviro_carbon",NA,"Allow EPA to regulate carbon dioxide emissions"
2010,"environment","enviro_mpg_raise",NA,"Raise average fuel efficiency"
2010,"environment","enviro_mpg_lower",NA,"Lower average fuel efficiency"
2010,"environment","enviro_renewable",NA,"Require states use a minimum amount of renewable fuels"
2010,"environment","enviro_airwateracts",NA,"Strengthen EPA enforcement of Clean Air and Water acts"
2010,"guns","guns_bgchecks",NA,"Background checks for guns for all sales"
2010,"guns","guns_names",NA,"Prohibit state and local publishing gun owner names"
2010,"guns","guns_assaultban",NA,"Ban assault rifles"
2010,"guns","guns_permits",NA,"Ease ability to obtain concealed-carry permits"
2010,"spending","spending_welfare",NA,"Spending preferences on welfare (1 = Increase, 3 = Maintain, 5 = Decrease)"
2010,"spending","spending_healthcare",NA,"Spending preferences on health care (1 = Increase, 3 = Maintain, 5 = Decrease)"
2010,"spending","spending_education",NA,"Spending preferences on education (1 = Increase, 3 = Maintain, 5 = Decrease)"
2010,"spending","spending_police",NA,"Spending preferences on law enforcement (1 = Increase, 3 = Maintain, 5 = Decrease)"
2010,"spending","spending_infrastructure",NA,"Spending preferences on transportation/infrastructure (1 = Increase, 3 = Maintain, 5 = Decrease)"
2010,"other","gaymarriage_scale",NA,"Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)"
2010,"other","gaymarriage_legalize",NA,"Support for legalizing gay marriage"
2010,"other","affirmativeaction_scale",NA,"Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)"
2010,"health care","healthcare_aca",NA,"Repeal the Affordable Care Act"
2010,"health care","healthcare_acamandate",NA,"Restore ACA mandate requiring everyone to be insured"
2010,"health care","healthcare_medicare",NA,"Provide Medicare for all Americans"
2010,"health care","healthcare_medicareage",NA,"Lower the eligibility age for Medicare from 65 to 50"
2010,"trade","trade_china",NA,"Tariffs on goods imported from China"
2010,"trade","trade_canmex_except",NA,"Tariffs on steel and aluminum EXCEPT from Canada and Mexico"
2010,"trade","trade_canmex_include",NA,"Tariffs on steel and aluminum INCLUDING from Canada and Mexico"
2011,"environment","enviro_scale","CC350","Opposition scale to climate change (1 = serious problem, 5 = not occuring)"
2011,"immigration","immig_legalize","CC351_1","Grant conditional legal status to undocumented"
2011,"immigration","immig_border","CC351_2","Increase border security between US-Mexico"
2011,"immigration","immig_police","CC351_3","Allow police questioning of suspected undocumented"
2011,"abortion","abortion_scale","CC352","Support scale for access to abortion (1 = Never permit, 4 = Always allow)"
2011,"other","gaymarriage_ban","CC353","Amendment banning gay marriage"
2011,"other","affirmativeaction","CC354","Opposition to affirmative action (1 = Support, 4 = Oppose)"
2011,"spending","spending_cuts_most","CC355a","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2011,"spending","spending_cuts_least","CC355b","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2011,"military","military_oil","CC356_1","Approve of military ensuring oil supply"
2011,"military","military_terroristcamp","CC356_2","Approve of military to destroy terrorist camp"
2011,"military","military_genocide","CC356_3","Approve of military to intervene in genocide or civil war"
2011,"military","military_democracy","CC356_4","Approve of military to assist in spread democracy"
2011,"military","military_protectallies","CC356_5","Approve of military to protect US allies under attack"
2011,"military","military_helpun","CC356_6","Approve of military to help the United Nations uphold international law"
2011,"spending","spending_vs_tax","CC357","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)"
2011,"other","incometax_vs_salestax","CC358","Preference scale from 0 (increase income tax) to 100 (increase sales tax)"
2011,NA,"case_id","V100","Respondent ID"
2011,"immigration","immig_employer",NA,"Sanction employers hiring undocumented"
2011,"immigration","immig_services",NA,"Prohibit services to immigrants"
2011,"immigration","immig_deport",NA,"Identify and deport illegal immigrants"
2011,"immigration","immig_report",NA,"Withhold funding from police failing to report illegal immigrants"
2011,"immigration","immig_reduce",NA,"Reduce legal immigration by 50 percent"
2011,"immigration","immig_wall",NA,"Increase spending on border security, including building a wall"
2011,"abortion","abortion_always",NA,"Always allow abortion"
2011,"abortion","abortion_conditional",NA,"Allow abortion only under certain cases"
2011,"abortion","abortion_20weeks",NA,"Ban abortion after 20 weeks"
2011,"abortion","abortion_coverage",NA,"Employer coverage of abortion"
2011,"abortion","abortion_expenditures",NA,"Prohibit expenditures for abortion"
2011,"abortion","abortion_prohibition",NA,"Total prohibition of abortion"
2011,"environment","enviro_carbon",NA,"Allow EPA to regulate carbon dioxide emissions"
2011,"environment","enviro_mpg_raise",NA,"Raise average fuel efficiency"
2011,"environment","enviro_mpg_lower",NA,"Lower average fuel efficiency"
2011,"environment","enviro_renewable",NA,"Require states use a minimum amount of renewable fuels"
2011,"environment","enviro_airwateracts",NA,"Strengthen EPA enforcement of Clean Air and Water acts"
2011,"guns","guns_scale",NA,"Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)"
2011,"guns","guns_bgchecks",NA,"Background checks for guns for all sales"
2011,"guns","guns_names",NA,"Prohibit state and local publishing gun owner names"
2011,"guns","guns_assaultban",NA,"Ban assault rifles"
2011,"guns","guns_permits",NA,"Ease ability to obtain concealed-carry permits"
2011,"spending","spending_welfare",NA,"Spending preferences on welfare (1 = Increase, 3 = Maintain, 5 = Decrease)"
2011,"spending","spending_healthcare",NA,"Spending preferences on health care (1 = Increase, 3 = Maintain, 5 = Decrease)"
2011,"spending","spending_education",NA,"Spending preferences on education (1 = Increase, 3 = Maintain, 5 = Decrease)"
2011,"spending","spending_police",NA,"Spending preferences on law enforcement (1 = Increase, 3 = Maintain, 5 = Decrease)"
2011,"spending","spending_infrastructure",NA,"Spending preferences on transportation/infrastructure (1 = Increase, 3 = Maintain, 5 = Decrease)"
2011,"other","gaymarriage_scale",NA,"Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)"
2011,"other","gaymarriage_legalize",NA,"Support for legalizing gay marriage"
2011,"other","affirmativeaction_scale",NA,"Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)"
2011,"environment","enviro_vs_jobs",NA,"Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)"
2011,"health care","healthcare_aca",NA,"Repeal the Affordable Care Act"
2011,"health care","healthcare_acamandate",NA,"Restore ACA mandate requiring everyone to be insured"
2011,"health care","healthcare_medicare",NA,"Provide Medicare for all Americans"
2011,"health care","healthcare_medicareage",NA,"Lower the eligibility age for Medicare from 65 to 50"
2011,"trade","trade_china",NA,"Tariffs on goods imported from China"
2011,"trade","trade_canmex_except",NA,"Tariffs on steel and aluminum EXCEPT from Canada and Mexico"
2011,"trade","trade_canmex_include",NA,"Tariffs on steel and aluminum INCLUDING from Canada and Mexico"
2012,"guns","guns_scale","CC320","Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)"
2012,"environment","enviro_scale","CC321","Opposition scale to climate change (1 = serious problem, 5 = not occuring)"
